Timestamp;Time;Sensor1;Sensor2;Sensor3
1627274825.5426953;11:47:05 \ 26.07.2021;0.0;18.16;4.92
1627274826.5371542;11:47:06 \ 26.07.2021;0.0;18.21;4.96
1627274827.5340436;11:47:07 \ 26.07.2021;0.0;18.41;4.96
1627274828.5285702;11:47:08 \ 26.07.2021;0.0;18.53;4.99
1627274829.53931;11:47:09 \ 26.07.2021;0.0;18.35;4.91
1627274830.5376737;11:47:10 \ 26.07.2021;0.0;18.11;4.96
1627274831.5470777;11:47:11 \ 26.07.2021;0.0;17.99;4.97
1627274832.5460722;11:47:12 \ 26.07.2021;0.0;18.25;4.92
1627274833.5554314;11:47:13 \ 26.07.2021;0.0;18.81;4.87
1627274834.5497787;11:47:14 \ 26.07.2021;0.0;18.41;5.01
1627274835.5452678;11:47:15 \ 26.07.2021;0.0;17.86;4.96
