Timestamp;Time;Sensor1;Sensor2;Sensor3;Sensor4;Sensor5
1627887248,6774206;13:54:08 \ 02.08.2021;14,25;5,8;6,11;5,49;0,49
1627887249,6705613;13:54:09 \ 02.08.2021;14,44;5,83;6,08;5,5;0,0
1627887250,679241;13:54:10 \ 02.08.2021;14,58;5,82;6,26;5,49;0,62
1627887251,6716504;13:54:11 \ 02.08.2021;14,31;5,81;6,06;5,5;0,57
1627887252,686346;13:54:12 \ 02.08.2021;14,41;5,8;6,09;5,49;0,31
1627887253,6777153;13:54:13 \ 02.08.2021;14,25;5,88;6,27;5,53;0,44
1627887254,6819844;13:54:14 \ 02.08.2021;14,33;5,8;6,08;5,53;0,26
1627887255,6857195;13:54:15 \ 02.08.2021;14,29;5,89;6,09;5,5;0,0
1627887256,6664102;13:54:16 \ 02.08.2021;14,44;5,82;6,1;5,41;0,66
1627887257,667677;13:54:17 \ 02.08.2021;14,38;5,81;6,1;5,41;0,0
1627887258,6700473;13:54:18 \ 02.08.2021;14,05;5,86;6,12;5,5;0,0
1627887259,6850152;13:54:19 \ 02.08.2021;14,19;5,89;6,06;5,49;0,0
1627887260,6771724;13:54:20 \ 02.08.2021;14,66;5,77;6,14;5,51;0,57
1627887261,6758583;13:54:21 \ 02.08.2021;14,78;5,83;6,09;5,47;0,09
1627887262,6854172;13:54:22 \ 02.08.2021;14,69;5,8;6,12;5,45;0,0
1627887263,6766036;13:54:23 \ 02.08.2021;14,24;5,76;6,03;5,45;0,04
1627887264,675984;13:54:24 \ 02.08.2021;14,47;5,83;6,08;5,42;0,49
1627887265,6784728;13:54:25 \ 02.08.2021;14,33;5,81;6,13;5,52;0,57
1627887266,6784763;13:54:26 \ 02.08.2021;14,39;5,85;6,07;5,47;0,4
1627887267,6802404;13:54:27 \ 02.08.2021;14,14;5,82;6,04;5,5;0,0
1627887268,6764276;13:54:28 \ 02.08.2021;14,49;5,8;6,12;5,41;0,0
1627887269,6886692;13:54:29 \ 02.08.2021;14,68;5,82;6,08;5,44;0,0
1627887270,6732223;13:54:30 \ 02.08.2021;14,33;5,83;6,08;5,49;0,35
1627887271,6710818;13:54:31 \ 02.08.2021;14,4;5,81;6,06;5,43;0,0
1627887272,6727326;13:54:32 \ 02.08.2021;14,48;5,89;6,31;5,51;0,04
1627887273,680924;13:54:33 \ 02.08.2021;14,27;5,84;6,09;5,44;0,0
1627887274,6842577;13:54:34 \ 02.08.2021;14,14;5,89;6,07;5,5;0,04
1627887275,6769664;13:54:35 \ 02.08.2021;14,55;5,84;6,23;5,43;0,0
1627887276,680428;13:54:36 \ 02.08.2021;14,37;5,82;6,09;5,49;0,18
1627887277,6651745;13:54:37 \ 02.08.2021;13,93;5,8;6,06;5,43;0,13
1627887278,675174;13:54:38 \ 02.08.2021;14,49;5,79;6,15;5,44;0,49
1627887279,6961625;13:54:39 \ 02.08.2021;14,38;5,77;6,08;5,47;0,18
1627887280,6884851;13:54:40 \ 02.08.2021;14,23;5,76;6,14;5,41;0,22
1627887281,7480326;13:54:41 \ 02.08.2021;14,22;5,82;6,1;5,4;0,4
1627887282,682992;13:54:42 \ 02.08.2021;14,23;5,8;6,05;5,55;0,35
1627887283,6705303;13:54:43 \ 02.08.2021;14,75;5,8;6,06;5,51;0,0
1627887284,663924;13:54:44 \ 02.08.2021;14,3;5,81;6,12;5,66;0,22
